node_idx,xgb_score,tgn_score,dyg_score,ensemble_score,risk_level
40,0.30346036,0.10655302,0.5048026,0.32492507,LOW
41,0.0005831662,0.0037619488,0.17062582,0.06955386,LOW
42,0.39777815,0.39475197,0.6130591,0.4829827,LOW
43,0.3114306,0.28897792,0.6840349,0.4537365,LOW
44,0.08868979,2.2832764e-05,0.0048976005,0.028572828,LOW
45,0.5256281,0.50850564,0.72219193,0.5991169,MEDIUM
46,0.0006988708,1.9070158e-05,0.005577552,0.0024464033,LOW
47,0.25483572,0.24397522,0.5621851,0.37451732,LOW
48,0.4563694,0.7429804,0.989986,0.75579935,MEDIUM
49,0.5497713,0.43060538,0.714076,0.57974344,MEDIUM
50,0.2787495,0.2807823,0.6431568,0.4251223,LOW
51,0.24177182,0.31335524,0.592931,0.4037105,LOW
52,0.17995948,0.18487841,0.61259145,0.35448796,LOW
53,0.39309192,0.3160193,0.7059678,0.49512047,LOW
54,0.2598915,0.39418578,0.9905633,0.5924485,MEDIUM
55,0.3787905,0.4149573,0.6610284,0.5025357,MEDIUM
56,0.005023943,0.006794744,0.34375986,0.14104956,LOW
57,0.42860636,0.843458,0.94347364,0.75900877,MEDIUM
58,0.6391143,0.5939077,0.985696,0.764185,MEDIUM
59,0.4528059,0.33701125,0.98973024,0.6328373,MEDIUM
60,0.33534735,0.2737985,0.9923159,0.57967013,MEDIUM
61,0.30160382,0.21731634,0.99207956,0.5525079,MEDIUM
62,0.0003681603,8.636267e-05,0.0049487446,0.0021158548,LOW
63,0.32245612,0.28948897,0.6519768,0.44437426,LOW
64,0.32970837,0.32563424,0.5521203,0.4174509,LOW
65,0.266514,0.24575041,0.68251413,0.426685,LOW
66,0.22693916,0.19848907,0.56872094,0.35511684,LOW
67,0.32195532,0.34205407,0.80653596,0.5218172,MEDIUM
68,0.27430117,0.27496427,0.5949452,0.4027577,LOW
69,0.18165405,0.19066454,0.7512496,0.41219544,LOW
70,0.006979797,0.0014490334,0.02504344,0.012546024,LOW
71,0.3739853,0.38435903,0.70590293,0.50986445,MEDIUM
72,0.25181448,0.24046627,0.57070786,0.37596738,LOW
73,0.47250724,0.4077629,0.7440362,0.5616956,MEDIUM
74,0.3369622,0.45163864,0.7500225,0.53658926,MEDIUM
75,0.4366715,0.47853345,0.6609536,0.53894293,MEDIUM
76,0.29469243,0.82488835,0.93657845,0.7105056,MEDIUM
77,0.39537206,0.5084828,0.8007384,0.5914519,MEDIUM
78,0.2665564,0.33186534,0.6249375,0.42950153,LOW
79,0.17187554,0.07575356,0.55391294,0.2958539,LOW
80,0.68950456,0.56119984,0.98862004,0.7706594,MEDIUM
81,0.41866466,0.3532632,0.9928732,0.6287277,MEDIUM
82,0.15139623,0.031126179,0.43760842,0.2298001,LOW
83,0.32772586,0.3446664,0.7008554,0.48205984,LOW
84,0.37187558,0.34738153,0.747396,0.5147355,MEDIUM
85,0.28429103,0.2819153,0.6484693,0.42924964,LOW
86,0.19473225,0.1554031,0.5398105,0.3209648,LOW
87,0.2460183,0.22558323,0.64221627,0.398367,LOW
88,0.31322694,0.44396177,0.6889129,0.5027218,MEDIUM
89,0.2876688,0.10124611,0.3736018,0.2661152,LOW
90,0.19791521,0.0393142,0.30446604,0.19295524,LOW
91,0.046964448,0.065912925,0.5395336,0.24967666,LOW
92,0.11416738,0.067804046,0.53781724,0.26971832,LOW
93,0.051561024,0.08440221,0.6813269,0.31331974,LOW
94,0.22399774,0.08243305,0.42849398,0.26332682,LOW
95,0.15683733,0.05740704,0.3386352,0.1997274,LOW
96,0.035331357,0.040260542,0.3631136,0.16792302,LOW
97,0.025539799,0.012968775,0.23983338,0.10748593,LOW
98,0.08359586,0.12346533,0.66124225,0.32661524,LOW
99,0.036174417,0.0111173205,0.35488102,0.15613994,LOW
100,0.37777245,0.43150273,0.9156285,0.60903394,MEDIUM
101,0.42180362,0.51667345,0.8598962,0.62550163,MEDIUM
102,0.5083577,0.7662617,0.9801702,0.77445394,MEDIUM
